task_index	n_episodes	task_instruction
0	54	close the cabinet doors
1	25	close the left drawer
2	29	close the right drawer
3	42	close the microwave door
4	12	close the cabinet door
5	54	press the button on the coffee machine to serve coffee
6	54	pick the mug from under the coffee machine dispenser and place it on the counter
7	54	pick the mug from the counter and place it under the coffee machine dispenser
8	53	open the cabinet doors
9	26	open the right drawer
10	28	open the left drawer
11	36	open the cabinet door
12	18	open the microwave door
13	2	pick the hot dog from the cabinet and place it on the counter
14	2	pick the bar from the cabinet and place it on the counter
15	4	pick the banana from the cabinet and place it on the counter
16	4	pick the onion from the cabinet and place it on the counter
17	1	pick the jug from the cabinet and place it on the counter
18	1	pick the bread from the cabinet and place it on the counter
19	2	pick the tomato from the cabinet and place it on the counter
20	1	pick the fish from the cabinet and place it on the counter
21	2	pick the bell pepper from the cabinet and place it on the counter
22	2	pick the avocado from the cabinet and place it on the counter
23	2	pick the steak from the cabinet and place it on the counter
24	2	pick the yogurt from the cabinet and place it on the counter
25	1	pick the mango from the cabinet and place it on the counter
26	2	pick the ketchup from the cabinet and place it on the counter
27	1	pick the condiment bottle from the cabinet and place it on the counter
28	2	pick the cucumber from the cabinet and place it on the counter
29	2	pick the canned food from the cabinet and place it on the counter
30	2	pick the carrot from the cabinet and place it on the counter
31	2	pick the bar soap from the cabinet and place it on the counter
32	1	pick the water bottle from the cabinet and place it on the counter
33	1	pick the ladle from the cabinet and place it on the counter
34	1	pick the coffee cup from the cabinet and place it on the counter
35	1	pick the lime from the cabinet and place it on the counter
36	1	pick the garlic from the cabinet and place it on the counter
37	2	pick the jam from the cabinet and place it on the counter
38	2	pick the broccoli from the cabinet and place it on the counter
39	1	pick the croissant from the cabinet and place it on the counter
40	1	pick the teapot from the cabinet and place it on the counter
41	1	pick the boxed food from the cabinet and place it on the counter
42	1	pick the apple from the cabinet and place it on the counter
43	1	pick the egg from the cabinet and place it on the counter
44	1	pick the boxed drink from the cabinet and place it on the counter
45	1	pick the kiwi from the cabinet and place it on the counter
46	1	pick the mushroom from the cabinet and place it on the counter
47	1	pick the cake from the counter and place it in the cabinet
48	1	pick the hot dog from the counter and place it in the cabinet
49	1	pick the carrot from the counter and place it in the cabinet
50	2	pick the avocado from the counter and place it in the cabinet
51	1	pick the mushroom from the counter and place it in the cabinet
52	4	pick the shaker from the counter and place it in the cabinet
53	1	pick the orange from the counter and place it in the cabinet
54	2	pick the squash from the counter and place it in the cabinet
55	2	pick the water bottle from the counter and place it in the cabinet
56	1	pick the sponge from the counter and place it in the cabinet
57	2	pick the soap dispenser from the counter and place it in the cabinet
58	1	pick the egg from the counter and place it in the cabinet
59	2	pick the tomato from the counter and place it in the cabinet
60	2	pick the cheese from the counter and place it in the cabinet
61	1	pick the jam from the counter and place it in the cabinet
62	1	pick the mug from the counter and place it in the cabinet
63	1	pick the kettle non electric from the counter and place it in the cabinet
64	1	pick the sweet potato from the counter and place it in the cabinet
65	1	pick the jug from the counter and place it in the cabinet
66	1	pick the bowl from the counter and place it in the cabinet
67	2	pick the canned food from the counter and place it in the cabinet
68	1	pick the cup from the counter and place it in the cabinet
69	1	pick the cupcake from the counter and place it in the cabinet
70	2	pick the kettle electric from the counter and place it in the cabinet
71	2	pick the mango from the counter and place it in the cabinet
72	1	pick the yogurt from the counter and place it in the cabinet
73	1	pick the potato from the counter and place it in the cabinet
74	1	pick the broccoli from the counter and place it in the cabinet
75	1	pick the spray from the counter and place it in the cabinet
76	1	pick the can from the counter and place it in the cabinet
77	1	pick the ketchup from the counter and place it in the cabinet
78	1	pick the steak from the counter and place it in the cabinet
79	1	pick the bell pepper from the counter and place it in the cabinet
80	2	pick the beer from the counter and place it in the cabinet
81	2	pick the lemon from the counter and place it in the cabinet
82	1	pick the bar soap from the counter and place it in the cabinet
83	1	pick the baguette from the counter and place it in the cabinet
84	1	pick the candle from the counter and place it in the cabinet
85	1	pick the onion from the counter and place it in the cabinet
86	1	pick the liquor from the counter and place it in the cabinet
87	6	pick the corn from the counter and place it in the microwave
88	6	pick the cheese from the counter and place it in the microwave
89	3	pick the fish from the counter and place it in the microwave
90	1	pick the steak from the counter and place it in the microwave
91	3	pick the onion from the counter and place it in the microwave
92	4	pick the tomato from the counter and place it in the microwave
93	2	pick the mushroom from the counter and place it in the microwave
94	5	pick the potato from the counter and place it in the microwave
95	2	pick the squash from the counter and place it in the microwave
96	7	pick the carrot from the counter and place it in the microwave
97	1	pick the garlic from the counter and place it in the microwave
98	3	pick the sweet potato from the counter and place it in the microwave
99	2	pick the hot dog from the counter and place it in the microwave
